CODE,ADDRESS,featuredLevel,publishDate,price,numBedrooms,numBathrooms,propertyType,propertySize,category,AMV_price,sellerId,seller_name,seller_branch,sellerType,m_totalImages,m_hasVideo,m_hasVirtualTour,m_hasBrochure,ber_rating,longitude,latitude,LONGITUDE,LATITUDE
3689135,"The Weavers, Meath Pl, Saint Catherine's, Dublin 8, D08 RTT2, Ireland",standard,2022-01-26,275000,2,1,Townhouse,65.0,Buy,0,8210.0,Ray Kelly (Residential Sales),HWP Residential and Commercial Property,BRANDED_AGENT,10.0,False,False,False,D1,-6.430858,53.329183,-6.280200799999999,53.3411247
3689119,"28 Dromsally Woods, Turagh, Cappamore, Co. Limerick, V94 TV2W, Ireland",standard,2022-01-25,135000,2,2,Semi-D,,Buy,0,10187.0,Sales Department,Martin Property Consultants,BRANDED_AGENT,15.0,False,False,False,C2,-6.392209,53.387894,-8.3435858,52.6145189
3689109,"Newport, Co. Tipperary, Ireland",standard,2022-01-30,190000,2,1,Apartment,98.0,Buy,0,1513.0,Stephen Welthagen [Residential & Commercial Sales],Bohan Hyland & Associates,BRANDED_AGENT,15.0,False,False,False,B3,-6.257391,53.70363,-8.4187938,52.7102172
3689105,"Shantully, Crossdoney, Co. Cavan, Ireland",standard,2022-01-30,375000,4,4,Terrace,,Buy,0,2010.0,John Hornibrook,Colbert & Co Estate Agents,BRANDED_AGENT,10.0,False,True,False,C1,-8.16413,51.868833,-7.4336255,53.9542763
3689100,"151 Bremore Castle, Tankardstown, Balbriggan, Co. Dublin, K32 YX37, Ireland",standard,2022-01-30,235000,2,1,Semi-D,72.0,Buy,0,3928.0,Grainne Hennessy,East Cork Properties,UNBRANDED_AGENT,20.0,False,False,False,D1,-7.85614,51.952708,-6.1967709,53.6158747
3689083,"Lisheen, Co. Cork, Ireland",standard,2022-01-28,350000,3,1,Detached,153.0,Buy,0,1300.0,Seamus Yallop,Kerry Estate Agents,UNBRANDED_AGENT,18.0,False,False,False,G,-9.819242,52.37344,-9.377224199999999,51.5307257
3689073,"14 Mask Cres, Donaghmede, Dublin 5, D05 R5X7, Ireland",standard,2022-01-27,395000,3,1,Terrace,93.0,Buy,0,10104.0,Conor O'Regan,DNG Tallaght,BRANDED_AGENT,13.0,False,False,False,XXX,-6.344265,53.292622,-6.1980757,53.3830831
3689070,"Grogan, Grogan and Corroe, Co. Offaly, Ireland",standard,2022-01-25,350000,4,2,Detached,214.0,Buy,0,3948.0,DNG John Ryan,DNG John Ryan,BRANDED_AGENT,30.0,False,False,False,B3,-8.627795,52.129214,-7.710900000000001,53.32389
3689064,"Academy Square, Academy St, Athlumney, Navan, Co. Meath, Ireland",standard,2022-01-25,140000,1,1,Apartment,54.0,Buy,0,2636.0,Duffy Auctioneers MIPAV,Duffy Auctioneers,BRANDED_AGENT,15.0,False,False,False,C3,-6.373801,53.402488,-6.675434,53.6467081
3689038,"Mallow, Co. Cork, Ireland",standard,2022-01-25,110000,1,1,Apartment,53.0,Buy,0,10947.0,Northside Sales,Ray Cooke Auctioneers Finglas,BRANDED_AGENT,16.0,False,False,False,C1,-6.243495,53.395312,-8.6539164,52.13897619999999
